x,y,z,radius
-0.053688082844018936,0.4831927418708801,0.2684404253959656,1.0069409608840942
-0.053688082844018936,2.684404134750366,0.21475233137607574,0.972164511680603
0.2684404253959656,-0.912697434425354,-0.21475233137607574,0.4795383810997009
-0.5905689001083374,-0.859009325504303,0.10737616568803787,0.4394536018371582
-0.37581658363342285,-1.718018651008606,0.7516331672668457,0.3994714617729187
0.9663854837417603,0.9663854837417603,-0.5905689001083374,0.39622801542282104
-0.2684404253959656,-3.006532669067383,0.7516331672668457,0.3762451410293579
0.3221285045146942,-1.7717067003250122,-0.21475233137607574,0.3762451410293579
-0.21475233137607574,-2.9528446197509766,-0.912697434425354,0.3728220760822296
-1.3958901166915894,0.912697434425354,0.10737616568803787,0.3588408827781677
0.2684404253959656,1.5569543838500977,-0.4831927418708801,0.3427565097808838
1.342202067375183,0.6442570090293884,-1.1274497509002686,0.3340088725090027
0.0,-2.3085875511169434,-0.5905689001083374,0.30963119864463806
-1.825394868850708,-0.4831927418708801,-0.053688082844018936,0.30144330859184265
1.610642433166504,-0.37581658363342285,-0.9663854837417603,0.30144330859184265
-0.6979450583457947,1.610642433166504,0.0,0.2983274459838867
-1.8790829181671143,0.5905689001083374,-0.21475233137607574,0.29305800795555115
-0.21475233137607574,-2.3622756004333496,0.805321216583252,0.2667800784111023
1.1274497509002686,3.060220718383789,0.21475233137607574,0.2619193196296692
-1.9864590167999268,0.053688082844018936,-0.10737616568803787,0.26164206862449646
0.5368808507919312,1.610642433166504,0.053688082844018936,0.25989073514938354
-1.234825849533081,3.006532669067383,0.21475233137607574,0.25211215019226074
-0.37581658363342285,-3.3286612033843994,1.5569543838500977,0.24756649136543274
-0.3221285045146942,1.5569543838500977,-0.4295046627521515,0.2426239252090454
0.0,-0.7516331672668457,0.4295046627521515,0.23675000667572021
1.1811378002166748,2.5770280361175537,0.10737616568803787,0.23247621953487396
1.5569543838500977,0.10737616568803787,-1.1811378002166748,0.23004159331321716
-0.4831927418708801,1.610642433166504,0.5368808507919312,0.22833752632141113
-0.053688082844018936,2.1475234031677246,1.2885140180587769,0.22833752632141113
1.0737617015838623,0.9663854837417603,0.053688082844018936,0.22726133465766907
0.21475233137607574,-3.1675968170166016,-0.5368808507919312,0.2219451665878296
0.859009325504303,3.436037302017212,0.37581658363342285,0.22111284732818604
-1.234825849533081,2.5233399868011475,0.10737616568803787,0.21652157604694366
-1.1274497509002686,0.9663854837417603,0.6442570090293884,0.21652157604694366
-1.0200735330581665,3.3286612033843994,-0.053688082844018936,0.19953446090221405
-0.053688082844018936,-3.1675968170166016,1.2885140180587769,0.19953446090221405
0.37581658363342285,1.0737617015838623,-0.6979450583457947,0.19680196046829224
0.3221285045146942,1.610642433166504,0.4831927418708801,0.1967078447341919
0.4831927418708801,-1.3958901166915894,0.21475233137607574,0.19360516965389252
-0.9663854837417603,1.1811378002166748,-0.10737616568803787,0.19129818677902222
0.4295046627521515,-0.6442570090293884,0.37581658363342285,0.18887287378311157
